t,x,L_x,f_x,L_y,f_y
1.33,1.94397319534946,-0.777589278139784,2.13837051488441,-0.205602680465054,0
1.335,1.94331577889418,-0.777326311557671,2.1376473567836,-0.205668422110582,0
1.34,1.95289301782434,-0.781157207129735,2.14818231960677,-0.204710698217566,0
1.345,1.94085775995447,-0.776343103981788,2.13494353594992,-0.205914224004553,0
1.35,1.94685308418618,-0.778741233674471,2.14153839260479,-0.205314691581382,0
1.355,1.96766561885139,-0.787066247540558,2.16443218073653,-0.203233438114861,0
1.36,1.995345051074,-0.798138020429598,2.1948795561814,-0.2004654948926,0
1.365,1.99196371749071,-0.796785486996284,2.19116008923978,-0.200803628250929,0
1.37,1.97973372141086,-0.791893488564345,2.17770709355195,-0.202026627858914,0
1.375,1.94637849001756,-0.778551396007023,2.14101633901931,-0.205362150998244,0
1.38,1.95037603070311,-0.780150412281246,2.14541363377343,-0.204962396929689,0
1.385,1.91433398387604,-0.765733593550415,2.10576738226364,-0.208566601612396,0
1.39,1.84430914332367,-0.737723657329469,2.02874005765604,-0.215569085667633,0
1.395,1.84622997741238,-0.738491990964951,2.03085297515362,-0.215377002258762,0
1.4,1.83944051531424,-0.735776206125698,2.02338456684567,-0.216055948468576,0
1.405,1.82420927807864,-0.729683711231456,2.0066302058865,-0.217579072192136,0
1.41,1.85028619369772,-0.740114477479087,2.03531481306749,-0.214971380630228,0
1.415,1.85359038938774,-0.741436155755096,2.03894942832651,-0.214640961061226,0
1.42,1.88963150395737,-0.75585260158295,2.07859465435311,-0.211036849604263,0
1.425,1.92592497800314,-0.770369991201256,2.11851747580345,-0.207407502199686,0
1.43,1.91423789160447,-0.765695156641789,2.10566168076492,-0.208576210839553,0
1.435,1.94495486192425,-0.7779819447697,2.13945034811667,-0.205504513807575,0
1.44,1.93248481372143,-0.77299392548857,2.12573329509357,-0.206751518627857,0
1.445,1.9135091007994,-0.765403640319759,2.10486001087934,-0.20864908992006,0
1.45,1.88540967126971,-0.754163868507884,2.07395063839668,-0.211459032873029,0
1.455,1.8604238403745,-0.744169536149801,2.04646622441195,-0.21395761596255,0
1.46,1.86156461610585,-0.744625846442338,2.04772107771643,-0.213843538389415,0
1.465,1.8479908977659,-0.73919635910636,2.03278998754249,-0.21520091022341,0
1.47,1.84192120087225,-0.7367684803489,2.02611332095948,-0.215807879912775,0
1.475,1.81348496954388,-0.725393987817554,1.99483346649827,-0.218651503045612,0
1.48,1.76571648289564,-0.706286593158255,1.9422881311852,-0.223428351710436,0
1.485,1.74948049981825,-0.6997921999273,1.92442854980007,-0.225051950018175,0
1.49,1.71697228040454,-0.686788912161818,1.888669508445,-0.228302771959546,0
1.495,1.71077740375848,-0.684310961503392,1.88185514413433,-0.228922259624152,0
1.5,1.70204711730347,-0.680818846921389,1.87225182903382,-0.229795288269653,0
1.505,1.70821461785542,-0.683285847142167,1.87903607964096,-0.229178538214458,0
1.51,1.72359102851297,-0.689436411405187,1.89595013136426,-0.227640897148703,0
1.515,1.69223282522603,-0.67689313009041,1.86145610774863,-0.230776717477397,0
1.52,1.71223017974799,-0.684892071899196,1.88345319772279,-0.228776982025201,0
1.525,1.7264577983528,-0.690583119341119,1.89910357818808,-0.22735422016472,0
1.53,1.70285066589122,-0.681140266356489,1.87313573248034,-0.229714933410878,0
1.535,1.69853395530909,-0.679413582123636,1.86838735084,-0.230146604469091,0
1.54,1.68611430538034,-0.674445722152137,1.85472573591838,-0.231388569461966,0
1.545,1.68921785867364,-0.675687143469455,1.858139644541,-0.231078214132636,0
1.55,1.6767322448964,-0.670692897958558,1.84440546938604,-0.23232677551036,0
1.555,1.71184359914423,-0.684737439657694,1.88302795905866,-0.228815640085577,0
1.56,1.70897769271252,-0.683591077085008,1.87987546198377,-0.229102230728748,0
1.565,1.7025939466455,-0.681037578658201,1.87285334131005,-0.22974060533545,0
1.57,1.6908130201664,-0.676325208066562,1.85989432218305,-0.23091869798336,0
