"index","n_re","peak_aci","peak_matlab","obj_aci","obj_msimps","obj_matlab","d_obj_native","d_obj_msimps","quad_diff","settled_frac","monotone"
330,972,0.11760601967513,0.117606019675131,0.041840425099653,0.0418404246032481,0.0418404246032483,4.96404715943921e-10,2.15105711021124e-16,4.96404931049632e-10,0.923868312757202,FALSE
331,971,0.119063234313093,0.119063234313097,0.0407962543363884,0.0407962543363884,0.0407962543363889,5.27355936696949e-16,5.27355936696949e-16,0,0.92378990731205,FALSE
332,970,0.120537943507057,0.120537943507059,0.0382803989471478,0.038280398450352,0.0382803984503519,4.9679588914886e-10,1.17961196366423e-16,4.96795771187664e-10,0.923711340206186,FALSE
333,969,0.12203033268091,0.122030332680911,0.0373322621542868,0.0373322621542868,0.0373322621542872,4.44089209850063e-16,4.44089209850063e-16,0,0.923632610939113,FALSE
334,968,0.123540588611735,0.123540588611733,0.0354269145028437,0.035426914005647,0.0354269140056475,4.9719620087707e-10,4.5102810375397e-16,4.97196651905174e-10,0.923553719008264,FALSE
335,967,0.104893637994524,0.104893637994527,0.0402143787307608,0.0402143787307608,0.0402143787307613,4.5102810375397e-16,4.5102810375397e-16,0,0.923474663908997,FALSE
336,966,0.101790508636105,0.101790508636101,0.0398086966910001,0.0398086960720343,0.0398086960720339,6.18966190801817e-10,4.37150315946155e-16,6.18965753651501e-10,0.923395445134576,FALSE
337,965,0.0955639395636247,0.0955639395636245,0.0409677182523216,0.0409677182523216,0.0409677182523217,1.17961196366423e-16,1.17961196366423e-16,0,0.923316062176166,FALSE
338,964,0.0870327125550977,0.0870327125550968,0.0433106519446294,0.0433106512020772,0.043310651202077,7.42552408450337e-10,2.08166817117217e-16,7.4255220028352e-10,0.923236514522822,FALSE
339,963,0.0836168568430396,0.0836168568430388,0.0437528424286831,0.0437528424286831,0.043752842428683,1.04083408558608e-16,1.04083408558608e-16,0,0.923156801661475,FALSE
340,962,0.0805176883756058,0.0805176883756075,0.0439162222312342,0.0439162214079438,0.0439162214079434,8.23290775830987e-10,3.88578058618805e-16,8.23290387252928e-10,0.923076923076923,FALSE
341,961,0.0815160979674438,0.0815160979674416,0.0427025971703827,0.0427025971703827,0.0427025971703823,3.60822483003176e-16,3.60822483003176e-16,0,0.922996878251821,FALSE
342,960,0.0825264452510068,0.0825264452510114,0.0409999780836392,0.0409999772597193,0.0409999772597187,8.23920473513873e-10,5.82867087928207e-16,8.23919890646785e-10,0.922916666666667,FALSE
343,959,0.0511836954722117,0.0511836954722116,0.0640173957552532,0.0640173957552532,0.0640173957552527,5.27355936696949e-16,5.27355936696949e-16,0,0.922836287799791,FALSE
344,958,0.0354287636391863,0.0354287636391854,0.0917790225906207,0.091779020622034,0.091779020622034,1.96858668255473e-09,4.16333634234434e-17,1.96858672418809e-09,0.922755741127349,FALSE
345,957,0.0321879092389243,0.0321879092389242,0.0999355356179441,0.0999355356179441,0.0999355356179431,9.85322934354826e-16,9.85322934354826e-16,0,0.922675026123302,FALSE
346,956,0.0325891303682007,0.0325891303682003,0.099614932891927,0.099614930696755,0.0996149306967561,2.19517085064957e-09,1.11022302462516e-15,2.1951719608726e-09,0.922594142259414,FALSE
347,955,0.0329951897269263,0.0329951897269274,0.0974514234485849,0.0974514234485849,0.0974514234485837,1.2490009027033e-15,1.2490009027033e-15,0,0.923560209424084,FALSE
348,954,0.0324076646476908,0.0324076646476901,0.0990852921323253,0.0990852898680856,0.099085289868085,2.26424026750216e-09,6.10622663543836e-16,2.2642396568795e-09,0.923480083857442,FALSE
349,953,0.0328117229747436,0.0328117229747432,0.0973631298177621,0.097363129817762,0.0973631298177628,7.35522753814166e-16,7.49400541621981e-16,1.38777878078145e-17,0.923399790136411,FALSE
350,952,0.0332206492668553,0.0332206492668546,0.0968049823840447,0.0968049801184169,0.0968049801184171,2.26562762994931e-09,1.94289029309402e-16,2.26562782423834e-09,0.923319327731092,FALSE
351,951,0.0336344957223483,0.0336344957223481,0.0954307333029179,0.0954307333029179,0.0954307333029184,5.13478148889135e-16,5.41233724504764e-16,2.77555756156289e-17,0.923238696109359,FALSE
352,950,0.034053314948638,0.0340533149486386,0.0943013525915709,0.0943013503245199,0.0943013503245177,2.26705317019071e-09,2.16493489801906e-15,2.26705100525582e-09,0.994736842105263,FALSE
353,949,0.032839155505815,0.0328391555058147,0.0963543382148688,0.0963543382148688,0.0963543382148704,1.58206781009085e-15,1.58206781009085e-15,0,0.994731296101159,FALSE
